SESSIONID,CARPARKNUMBER,VEHICLETYPE,SESSIONSTART,SESSIONEND,TOTAL_CHARGE,DURATION,EFFECTIVE_CHARGE,LOT_NUMBER,LABEL_TYPE
0PL81-E-00001-20211004205235,PL81,C,4/10/2021 20:52,5/10/2021 6:52,0,600,0,19,1
0PL81-E-00001-20211004205340,PL81,C,4/10/2021 20:53,5/10/2021 7:29,0,636,0,155,1
0PL81-E-00001-20211004205346,PL81,C,4/10/2021 20:53,5/10/2021 9:54,0,781,0,278,1
0PL81-E-00001-20211004205520,PL81,C,4/10/2021 20:55,4/10/2021 22:41,0,106,0,290,1
0PL81-E-00001-20211004205634,PL81,C,4/10/2021 20:56,5/10/2021 8:07,0,671,0,100,1
0PL81-L-00173-20211004205647,PL81,C,4/10/2021 20:56,4/10/2021 20:57,0,1,0,173,1
0PL81-E-00001-20211004205737,PL81,C,4/10/2021 20:57,5/10/2021 7:27,0,630,0,291,1
0PL81-E-00001-20211004205802,PL81,C,4/10/2021 20:58,4/10/2021 22:18,0,80,0,297,1
0PL81-L-00173-20211004205822,PL81,C,4/10/2021 20:58,4/10/2021 21:07,0,9,0,173,1
0PL81-E-00001-20211004205956,PL81,C,4/10/2021 20:59,5/10/2021 9:32,0,753,0,82,1
0PL81-E-00001-20211004210206,PL81,C,4/10/2021 21:02,5/10/2021 8:26,0,684,0,360,1
0PL81-E-00001-20211004210502,PL81,C,4/10/2021 21:05,5/10/2021 10:07,0,782,0,164,1
0PL81-L-00173-20211004210802,PL81,C,4/10/2021 21:08,4/10/2021 22:19,0,71,0,173,1
0PL81-E-00001-20211004211037,PL81,C,4/10/2021 21:10,5/10/2021 5:53,0,523,0,131,1
0PL81-E-00001-20211004211210,PL81,C,4/10/2021 21:12,5/10/2021 4:01,0,409,0,135,1
0PL81-E-00001-20211004211216,PL81,C,4/10/2021 21:12,5/10/2021 8:38,0,686,0,161,1
0PL81-E-00001-20211004211437,PL81,C,4/10/2021 21:14,4/10/2021 21:18,0,4,0,269,1
0PL81-E-00001-20211004211836,PL81,C,4/10/2021 21:18,5/10/2021 8:25,0,667,0,275,1
0PL81-L-00270-20211004211853,PL81,C,4/10/2021 21:18,5/10/2021 18:33,0,1275,0,270,1
0PL81-E-00001-20211004211932,PL81,C,4/10/2021 21:19,6/10/2021 8:51,0,2132,0,137,1
0PL81-E-00001-20211004212023,PL81,C,4/10/2021 21:20,5/10/2021 7:50,0,630,0,167,1
0PL81-E-00001-20211004212230,PL81,C,4/10/2021 21:22,7/10/2021 13:17,0,3835,0,158,1
0PL81-E-00001-20211004212833,PL81,C,4/10/2021 21:28,5/10/2021 14:49,0,1041,0,141,1
0PL81-L-00188-20211004213156,PL81,C,4/10/2021 21:31,5/10/2021 4:00,0,389,0,188,1
0PL81-E-00001-20211004213346,PL81,C,4/10/2021 21:33,5/10/2021 8:00,0,627,0,66,1
0PL81-E-00001-20211004213355,PL81,C,4/10/2021 21:33,5/10/2021 7:49,0,616,0,176,1
0PL81-E-00001-20211004213858,PL81,C,4/10/2021 21:38,5/10/2021 4:00,0,382,0,347,1
0PL81-E-00001-20211004214235,PL81,C,4/10/2021 21:42,5/10/2021 9:51,0,729,0,77,1
